Track Name,Artist,Density,Multi,Signatures,Syll.
Wat's Wrong (feat. Zacari & Kendrick Lamar),Kendrick Lamar,44.7,27.2,97,356
"King's Dead (with Kendrick Lamar, Future & James Blake)",Kendrick Lamar,68.6,18.0,116,646
Hol' Up,Kendrick Lamar,59.0,18.6,122,656
Backseat Freestyle,Kendrick Lamar,67.3,15.4,116,752
These Walls,Kendrick Lamar,58.6,19.5,150,771
Hood Gone Love It (feat. Kendrick Lamar),Kendrick Lamar,32.2,35.1,73,208
Walk On By,Kendrick Lamar,51.4,27.2,90,331
Mona Lisa (feat. Kendrick Lamar),Kendrick Lamar,56.9,20.3,118,580
Forbidden Fruit (feat. Kendrick Lamar),Kendrick Lamar,72.4,11.2,24,214
The Recipe - Bonus Track,Kendrick Lamar,45.5,26.2,102,389
HiiiPower,Kendrick Lamar,61.8,16.0,160,1003
Goosebumps,Kendrick Lamar,50.0,26.2,54,206
Wow Freestyle (feat. Kendrick Lamar),Kendrick Lamar,69.4,20.2,109,539
Stand Tall,Rapsody,54.0,23.3,104,446
Complexion (A Zulu Love),Rapsody,49.2,30.0,91,303
BROKE FOLK FUNK,Rapsody,66.5,17.4,102,585
Without You (feat. Rapsody),Rapsody,44.1,31.5,70,222
The Law (feat. Mac Miller & Rapsody),Rapsody,41.1,37.0,54,146
Asteroids,Rapsody,64.1,19.5,130,666
He Won't Hold You (feat. Rapsody),Rapsody,42.1,39.3,72,183
Eve Gene,Rapsody,32.9,36.4,82,225
OooWee,Rapsody,58.3,20.3,127,626
DIAMONDS & FREAKS,Rapsody,57.0,26.5,120,453
DON'T BREAK MY HEART - Acoustic Version,Rapsody,62.5,8.7,391,4510
HALFWAY RIGHT (with Rapsody & Alex Isley),Rapsody,43.2,39.2,78,199
Extra Extra (feat. Mac Miller & Halo),Rapsody,43.3,31.3,89,284
Ibtihaj,Rapsody,60.8,17.2,121,704
Remember Us (feat. Rapsody),Rapsody,55.3,23.0,86,374
The Other Ones (feat. Rapsody),Rapsody,52.1,30.5,58,190
Sojourner,Rapsody,54.9,23.9,140,585
Every Ghetto (feat. Rapsody),Rapsody,47.1,26.7,96,359
Deep End - Remix,Rapsody,41.0,40.2,94,234
Good Good Love (feat. BJ The Chicago Kid),Rapsody,64.0,21.6,121,559
I Can Make It,Rapsody,54.1,24.1,85,353
"On and On (feat. Harolddd, Ciara, Rapsody & Mav City Gospel Choir)",Rapsody,47.5,34.1,74,217
Laila’s Wisdom,Rapsody,57.4,22.6,142,629
Cleo,Rapsody,58.7,20.7,19,92
Love I Need,Rapsody,45.9,37.2,77,207
Blue Eyes - Interlude,Rapsody,43.0,29.5,61,207
Power,Rapsody,60.8,19.0,140,735
Maya,Rapsody,61.0,21.6,118,546
Remy Rap (feat. Remy Ma & Rapsody),Rapsody,43.2,31.5,97,308
"Love Is A Funny Thing (feat. Styles P, Rapsody & Khrysis)",Rapsody,55.3,29.3,63,215
Dust To Diamonds ft. Faouzia,Rapsody,61.0,8.1,409,5020
Oprah,Rapsody,49.3,18.6,81,436
Fallin,Rapsody,64.2,17.3,166,960
"Hallelujah (feat. Fashawn, Rapsody, Domo Genesis, Vinnie Paz & Action Bronson) [Bonus Track]",Rapsody,38.9,29.8,79,265
"Fight The Power: Remix 2020 (feat. Nas, Rapsody, Black Thought, Jahi, YG, & Questlove)",Rapsody,29.7,38.2,63,165
Nina,Rapsody,52.2,24.9,140,563
Get Together (feat. Rapsody),Rapsody,39.1,32.4,125,386
"Generation (feat. Mac Miller, Jared Evan)",Rapsody,52.8,15.3,100,653
2 AM,Rapsody,66.1,15.4,154,1002
